"USDA and ODS-NIH Database for the Purine Content of Foods
Release 2, March 2025",,,,,,,,,,,,,,,,,,,,,,
Presented in milligrams per 100 millileters (mg/100mL),,,,,,,,,,,,,,,,,,,,,,
Alcoholic Beverage Published Literature,,,,,,,,,,,,,,,,,,,,,,
Alcoholic Beverage Description,N,Adenine,,,,Guanine,,,,Hypoxanthine,,,,Xanthine,,,,Total of 4 Purine Bases (mg/100mL),Uric Acid (mg/100 mL),Year(s) Published,Data Source1,Country of Origin2
,,Mean (mg/100 mL),SEM,Min,Max,Mean (mg/100 mL),SEM,Min,Max,Mean (mg/100 mL),SEM,Min,Max,Mean (mg/100 mL),SEM,Min,Max,,,,,
Beer for export (higher wort content than typical Austrian Lager),1,1.4,-,-,-,6.9,-,-,-,0.6,-,-,-,1.7,-,-,-,11,-,2002,m,"Austria, Hungary, Romania, Poland"
"Beer, ‘regular’ type, various brands",38,1.6,0.2,0.2,4.6,4.5,0.3,1.8,7.9,1.0,0.1,0.05,3.9,1.4,0.1,0.1,3.2,8.5,-,"2013, 2009, 2002 ","k,l,m","Japan, Austria, Hungary, Romania, Poland"
"Beer, dark",1,4.2,-,-,-,6.6,-,-,-,1.7,-,-,-,1.1,-,-,-,14,-,2002,m,"Austria, Hungary, Romania, Poland"
"Beer, from wheat",1,1.2,-,-,-,3.6,-,-,-,0.5,-,-,-,2.7,-,-,-,8.1,-,2002,m,"Austria, Hungary, Romania, Poland"
"Beer, low alcohol",12,1.3,0.3,0.2,3.6,2.2,0.5,0,6.7,0.5,0.1,0,1.5,0.6,0.1,0,1.2,4.6,-,"2009, 2002","l,m","Japan, Austria, Hungary, Romania, Poland"
"Beer, Pils",1,1.1,-,-,-,6.7,-,-,-,0.4,-,-,-,1.7,-,-,-,9.8,-,2002,m,"Austria, Hungary, Romania, Poland"
Brandy,1,0,-,-,-,0.2,-,-,-,0.2,-,-,-,0.1,-,-,-,0.4,-,2009,l,Japan
"Malt beverage, including non-alcoholic beer",15,0.9,0.4,0.04,5.2,1.2,0.4,0.08,5.6,0.4,0.2,0,3.4,0.4,0.09,0,1.1,2.9,-,"2013, 2009, 2002 ","k,l,m","Japan, Austria, Hungary, Romania, Poland"
Radler (beer and lemonade mixture),1,0.4,-,-,-,2.9,-,-,-,0.3,-,-,-,0,-,-,-,3.6,-,2002,m,"Austria, Hungary, Romania, Poland"
Sake,3,0.05,0.05,0,0.1,0.1,0.06,0,0.2,0.7,0.3,0.3,1.2,0.6,0.2,0.2,0.9,1.4,-,2009,l,Japan
Shochu (Japanese spirit liquor),2,0,-,0,0,0.02,-,0.01,0.02,0,-,0,0,0,-,0,0,0.0,-,2009,l,Japan
Shoko-shu (Chinese liquor),2,0.5,-,0.4,0.6,1.3,-,1.1,1.5,5.0,-,3.3,6.6,2.9,-,2.5,3.3,9.7,-,2009,l,Japan
Ume liqueur,1,0,-,-,-,0.1,-,-,-,0.1,-,-,-,0,-,-,-,0.2,-,2009,l,Japan
Whiskey,2,0.03,-,0,0.06,0.1,-,0.09,0.1,0.0,-,0.01,0.08,0,-,0.02,0.07,0.2,-,2009,l,Japan
Wine,3,0.1,0.07,0.03,0.2,0.2,0.1,0,0.5,0.2,0.05,0.2,0.3,0.7,0.4,0.05,1.3,1.2,-,2009,l,Japan
1 Sources of data:,,,,,,,,,,,,,,,,,,,,,,
"k - Fukuuchi, T., et al. (2013).  ",,,,,,,,,,,,,,,,,,,,,,
"l - Kaneko, K., et al. (2009).  ",,,,,,,,,,,,,,,,,,,,,,
"m - Klampfl, C.W., et al. (2002).  ",,,,,,,,,,,,,,,,,,,,,,
2 Publications' origin; sample origin not necessarily specified,,,,,,,,,,,,,,,,,,,,,,
