"USDA and ODS-NIH Database for the Purine Content of Foods
Release 2, March 2025",,,,,,,,,,,,,,,,,,,,,,
Presented in milligrams per 100 grams (mg/100g),,,,,,,,,,,,,,,,,,,,,,
International Published Literature (Excluding North America),,,,,,,,,,,,,,,,,,,,,,
Food Description,N,Adenine,,,,Guanine,,,,Hypoxanthine,,,,Xanthine,,,,Total of 4 Purine Bases (mg/100g),Uric Acid (mg/100g)*,Year(s) Published,Data Source1,Country of Origin2 
,,Mean (mg/100g)*,SEM,Min,Max,Mean (mg/100g)*,SEM,Min,Max,Mean (mg/100g)*,SEM,Min,Max,Mean (mg/100g)*,SEM,Min,Max,,,,,
Beef Organ Products,,,,,,,,,,,,,,,,,,,,,,
"Beef heart, raw",1,46,-,-,-,27,-,-,-,97,-,-,-,15,-,-,-,185,-,2014,b,Japan 
"Beef kidney, raw",1,68,-,-,-,64,-,-,-,8.2,-,-,-,35,-,-,-,174,-,2014,b,Japan 
"Beef large intestine, raw",1,27,-,-,-,39,-,-,-,15,-,-,-,7.3,-,-,-,88,-,2014,b,Japan
"Beef liver, raw",1,87,-,-,-,83,-,-,-,ND,-,-,-,50,-,-,-,220,-,2014,b,Japan 
"Beef stomach, raw",1,28,-,-,-,21,-,-,-,18,-,-,-,17,-,-,-,84,-,2014,b,Japan
"Beef tongue, raw",1,24,-,-,-,12,-,-,-,45,-,-,-,9.1,-,-,-,90,-,2014,b,Japan
Beef (other than organs),,,,,,,,,,,,,,,,,,,,,,
"Beef brisket, raw",1,14,-,-,-,7.6,-,-,-,49,-,-,-,9.1,-,-,-,79,-,2014,b,Japan
"Beef chuck ribs, raw",1,15,-,-,-,9.1,-,-,-,37,-,-,-,17,-,-,-,77,-,2014,b,Japan
"Beef clod (shoulder), raw",1,19,-,-,-,9.1,-,-,-,65,-,-,-,11,-,-,-,104,-,2014,b,Japan
"Beef front, raw (unspecified)",1,17,-,-,-,12,-,-,-,45,-,-,-,3.4,-,-,-,77,1.2,2010,f,Czech Republic 
"Beef neck, raw",1,19,-,-,-,14,-,-,-,54,-,-,-,14,-,-,-,101,-,2014,b,Japan
"Beef rib loin, raw",1,14,-,-,-,7.6,-,-,-,40,-,-,-,14,-,-,-,74,-,2014,b,Japan
"Beef round (topside), cooked",1,27,-,-,-,16,-,-,-,87,-,-,-,13,-,-,-,143,-,2014,b,Japan
"Beef round (topside), raw",2,20,-,19,20,13,-,11,15,75,-,72,77,16,-,9.1,23,123,-,2014,b,Japan
"Beef shin, raw",1,18,-,-,-,14,-,-,-,59,-,-,-,17,-,-,-,106,-,2014,b,Japan
"Beef sirloin, raw",1,16,-,-,-,9.1,-,-,-,56,-,-,-,9.1,-,-,-,90,-,2014,b,Japan
"Beef, tenderloin, raw",1,16,-,-,-,9.1,-,-,-,64,-,-,-,9.1,-,-,-,98,-,2014,b,Japan
Beverages,,,,,,,,,,,,,,,,,,,,,,
Amazake (fermented drink made from sake lees),1,3.1,-,-,-,2.1,-,-,-,1.1,-,-,-,0,-,-,-,6.2,-,2020,n,Japan
Fruit juice,1,0.5,-,-,-,0.4,-,-,-,0.1,-,-,-,0,-,-,-,1.1,-,2020,n,Japan
Green tea beverage,1,1.0,-,-,-,0.7,-,-,-,0,-,-,-,0,-,-,-,1.7,-,2020,n,Japan
"Green tea leaves, dried",1,83,-,-,-,117,-,-,-,3.6,-,-,-,1.0,-,-,-,204,-,2020,n,Japan
Vegetable juice,1,8.8,-,-,-,4.4,-,-,-,0.5,-,-,-,0,-,-,-,14,-,2020,n,Japan
Cereal grains and grain-based products,,,,,,,,,,,,,,,,,,,,,,
"Barley, raw",1,22,-,-,-,23,-,-,-,0,-,-,-,0,-,-,-,44,-,2014,b,Japan
Bread (no further specified),1,1.1,-,-,-,2.4,-,-,-,0.3,-,-,-,0.6,-,-,-,4.4,-,2020,n,Japan
Bread flour,1,12,-,-,-,14,-,-,-,0,-,-,-,0,-,-,-,26,-,2014,b,Japan
Buckwheat flour,1,35,-,-,-,41,-,-,-,0,-,-,-,0,-,-,-,76,-,2014,b,Japan
Cake flour,1,8.1,-,-,-,7.6,-,-,-,0,-,-,-,0,-,-,-,16,-,2014,b,Japan
Gelatin noodle (dried),1,0.2,-,-,-,0.2,-,-,-,0.2,-,-,-,0,-,-,-,0.6,-,2020,n,Japan
Pastry flour,1,12,-,-,-,14,-,-,-,0,-,-,-,0,-,-,-,26,-,2014,b,Japan
"Ramen, noodle",1,7.5,-,-,-,6.8,-,-,-,0,-,-,-,7.3,-,-,-,22,-,2014,b,Japan
Rice bran,1,36,-,-,-,57,-,-,-,6,-,-,-,0.9,-,-,-,100,-,2014,b,Japan
Rice crackers,1,0,-,-,-,4.3,-,-,-,4.2,-,-,-,5.7,-,-,-,14,-,2014,b,Japan
"Rice, white, raw3",3,14,1.6,11,16,19,1.8,15,21,0,-,-,-,0,-,-,-,33,-,2014,b,Japan
Soba (buckwheat noodles),1,2.0,-,-,-,5.6,-,-,-,0,-,-,-,0,-,-,-,7.6,-,2020,n,Japan
Spaghetti,1,1.5,-,-,-,4.1,-,-,-,1.0,-,-,-,0.2,-,-,-,6.8,-,2020,n,Japan
Udon (wheat noodles),1,5.4,-,-,-,6.2,-,-,-,0.5,-,-,-,0,-,-,-,12,-,2020,n,Japan
Dairy and Eggs,,,,,,,,,,,,,,,,,,,,,,
Butter,1,ND,-,-,-,ND,-,-,-,ND,-,-,-,ND,-,-,-,ND,-,2020,n,Japan
"Cheese, grated",1,8.2,-,-,-,4.2,-,-,-,ND,-,-,-,0.6,-,-,-,13,-,2014,b,Japan
"Cream, animal, fresh",1,0.2,-,-,-,0,-,-,-,ND,-,-,-,ND,-,-,-,0.2,-,2020,n,Japan
"Cream, vegetable, fresh",1,0.1,-,-,-,ND,-,-,-,ND,-,-,-,ND,-,-,-,0.1,-,2020,n,Japan
"Egg, chicken, raw",1,0,-,-,-,ND,-,-,-,0,-,-,-,0,-,-,-,0,-,2014,b,Japan
"Egg, quail, raw",1,0,-,-,-,ND,-,-,-,0,-,-,-,ND,-,-,-,0,-,2014,b,Japan
Margarine,1,ND,-,-,-,ND,-,-,-,ND,-,-,-,ND,-,-,-,ND,-,2020,n,Japan
Milk,1,0,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,-,2014,b,Japan
Yogurt (not further specified),1,1.4,-,-,-,2.1,-,-,-,1.5,-,-,-,0.2,-,-,-,5.2,-,2014,b,Japan
"Yogurt, liquid",1,0.6,-,-,-,0.8,-,-,-,ND,-,-,-,ND,-,-,-,1.4,-,2020,n,Japan
Finfish and shellfish,,,,,,,,,,,,,,,,,,,,,,
"Anchovy, dried",1,258,-,-,-,465,-,-,-,382,-,-,-,4.0,-,-,-,1109,-,2014,b,Japan
"Anchovy, fresh",1,25,-,-,-,156,-,-,-,122,-,-,-,1.2,-,-,-,304,-,2020,n,Japan
"Arabesque greenling, raw",1,19,-,-,-,34,-,-,-,95,-,-,-,2.4,-,-,-,150,-,2014,b,Japan
"Ayu, raw",1,18,-,-,-,26,-,-,-,90,-,-,-,0,-,-,-,133,-,2014,b,Japan
"Barracuda, raw",1,14,-,-,-,24,-,-,-,110,-,-,-,ND,-,-,-,148,-,2014,b,Japan
"Beltfish, raw",3,15,1.0,-,-,35,3.0,-,-,84,4.3,-,-,5.6,1.0,-,-,139,-,2017,c,China
"Bonito, dried",1,51,-,-,-,79,-,-,-,363,-,-,-,0,-,-,-,493,-,2014,b,Japan
"Carp, raw",1,16,-,-,-,12,-,-,-,75,-,-,-,ND,-,-,-,103,-,2014,b,Japan
"Clams, raw",1,64,-,-,-,39,-,-,-,12,-,-,-,30,-,-,-,145,-,2014,b,Japan
"Clams, raw",3,29,1.4,-,-,34,1.3,-,-,47,2.1,-,-,ND,-,-,-,110,-,2017,c,China
"Cod, fresh",1,13,-,-,-,21,-,-,-,62,-,-,-,1.5,-,-,-,98,-,2020,n,Japan
"Conger eel, fresh",1,12,-,-,-,22,-,-,-,57,-,-,-,4.9,-,-,-,95,-,2020,n,Japan
"Crab ovary, raw",1,43,-,-,-,106,-,-,-,3.9,-,-,-,0,-,-,-,152,-,2014,b,Japan
"Crab, red king, raw",1,57,-,-,-,20,-,-,-,9.5,-,-,-,14,-,-,-,100,-,2014,b,Japan
